sample_id,source,station,parameter,sample_date,value,reason
S-00025,LabA,Station-North-1,Dissolved Arsenic,2026-01-26,5.716,Exceeds guideline maximum (5.716 > 5.0)
S-00033,LabA,Station-North-1,Dissolved Arsenic,2026-02-02,10.835,Exceeds guideline maximum (10.835 > 5.0)
S-00036,LabA,Station-East-1,Dissolved Arsenic,2026-02-02,5.163,Exceeds guideline maximum (5.163 > 5.0)
S-00046,LabA,Station-East-1,Turbidity,2026-02-09,31.597,Exceeds guideline maximum (31.597 > 25.0)
S-00055,LabA,Station-South-1,Dissolved Arsenic,2026-02-16,9.396,Exceeds guideline maximum (9.396 > 5.0)
S-00087,LabA,Station-South-1,Dissolved Arsenic,2026-03-16,6.608,Exceeds guideline maximum (6.608 > 5.0)
S-00104,LabB,Station-East-1,pH,2026-01-05,15.389,Exceeds guideline maximum (15.389 > 9.0)
S-00109,LabB,Station-North-1,pH,2026-01-12,16.349,Exceeds guideline maximum (16.349 > 9.0)
S-00113,LabB,Station-North-2,Dissolved Arsenic,2026-01-12,10.496,Exceeds guideline maximum (10.496 > 5.0)
S-00119,LabB,Station-South-1,Dissolved Copper,2026-01-12,3.736,Exceeds guideline maximum (3.736 > 2.0)
S-00121,LabB,Station-North-1,pH,2026-01-19,16.857,Exceeds guideline maximum (16.857 > 9.0)
S-00136,LabB,Station-North-1,Turbidity,2026-01-26,34.568,Exceeds guideline maximum (34.568 > 25.0)
S-00142,LabB,Station-South-1,pH,2026-01-26,16.44,Exceeds guideline maximum (16.44 > 9.0)
S-00170,LabB,Station-North-1,Dissolved Copper,2026-02-16,2.494,Exceeds guideline maximum (2.494 > 2.0)
S-00174,LabB,Station-North-2,Dissolved Copper,2026-02-16,3.448,Exceeds guideline maximum (3.448 > 2.0)
S-00226,LabB,Station-South-1,pH,2026-03-16,14.585,Exceeds guideline maximum (14.585 > 9.0)
S-00232,LabB,Station-North-1,Turbidity,2026-03-23,27.366,Exceeds guideline maximum (27.366 > 25.0)
