sample_id,station_id,parameter_id,date_id,source,value,is_exceedance
S-00001,ST-02,PM-01,DT-0001,LabA,2.378,0
S-00002,ST-03,PM-05,DT-0001,LabA,7.012,0
S-00003,ST-03,PM-03,DT-0001,LabA,0.225,0
S-00004,ST-01,PM-01,DT-0001,LabA,0.681,0
S-00005,ST-01,PM-02,DT-0001,LabA,0.805,0
S-00006,ST-01,PM-04,DT-0001,LabA,12.656,0
S-00007,ST-04,PM-01,DT-0001,LabA,1.422,0
S-00008,ST-04,PM-04,DT-0001,LabA,9.793,0
S-00009,ST-02,PM-01,DT-0002,LabA,2.819,0
S-00010,ST-03,PM-05,DT-0002,LabA,7.401,0
S-00011,ST-03,PM-03,DT-0002,LabA,0.318,0
S-00012,ST-01,PM-01,DT-0002,LabA,3.299,0
S-00013,ST-01,PM-02,DT-0002,LabA,0.349,0
S-00014,ST-01,PM-04,DT-0002,LabA,0,0
S-00015,ST-04,PM-01,DT-0002,LabA,1.253,0
S-00016,ST-04,PM-04,DT-0002,LabA,17.84,0
S-00017,ST-02,PM-01,DT-0003,LabA,0.864,0
S-00018,ST-03,PM-05,DT-0003,LabA,7.458,0
S-00019,ST-03,PM-03,DT-0003,LabA,0.14,0
S-00020,ST-01,PM-01,DT-0003,LabA,3.802,0
S-00021,ST-01,PM-02,DT-0003,LabA,1.042,0
S-00022,ST-01,PM-04,DT-0003,LabA,17.87,0
S-00023,ST-04,PM-01,DT-0003,LabA,2.223,0
S-00024,ST-04,PM-04,DT-0003,LabA,7.042,0
S-00025,ST-02,PM-01,DT-0004,LabA,5.716,1
S-00026,ST-03,PM-05,DT-0004,LabA,7.299,0
S-00027,ST-03,PM-03,DT-0004,LabA,0.487,0
S-00028,ST-01,PM-01,DT-0004,LabA,3.419,0
S-00029,ST-01,PM-02,DT-0004,LabA,0.034,0
S-00030,ST-01,PM-04,DT-0004,LabA,9.604,0
S-00031,ST-04,PM-01,DT-0004,LabA,1.893,0
S-00032,ST-04,PM-04,DT-0004,LabA,10.891,0
S-00033,ST-02,PM-01,DT-0005,LabA,10.835,1
S-00034,ST-03,PM-05,DT-0005,LabA,7.104,0
S-00035,ST-03,PM-03,DT-0005,LabA,0.635,0
S-00036,ST-01,PM-01,DT-0005,LabA,5.163,1
S-00037,ST-01,PM-02,DT-0005,LabA,1.333,0
S-00038,ST-01,PM-04,DT-0005,LabA,8.504,0
S-00039,ST-04,PM-01,DT-0005,LabA,1.994,0
S-00040,ST-04,PM-04,DT-0005,LabA,12.331,0
S-00041,ST-02,PM-01,DT-0006,LabA,2.752,0
S-00042,ST-03,PM-05,DT-0006,LabA,7.198,0
S-00043,ST-03,PM-03,DT-0006,LabA,0.282,0
S-00044,ST-01,PM-01,DT-0006,LabA,2.245,0
S-00045,ST-01,PM-02,DT-0006,LabA,0.471,0
S-00046,ST-01,PM-04,DT-0006,LabA,31.597,1
S-00047,ST-04,PM-01,DT-0006,LabA,0.825,0
S-00048,ST-04,PM-04,DT-0006,LabA,5.844,0
S-00049,ST-02,PM-01,DT-0007,LabA,3.592,0
S-00050,ST-03,PM-05,DT-0007,LabA,6.95,0
S-00051,ST-03,PM-03,DT-0007,LabA,0.347,0
S-00052,ST-01,PM-01,DT-0007,LabA,1.402,0
S-00053,ST-01,PM-02,DT-0007,LabA,1.22,0
S-00054,ST-01,PM-04,DT-0007,LabA,2.851,0
S-00055,ST-04,PM-01,DT-0007,LabA,9.396,1
S-00056,ST-04,PM-04,DT-0007,LabA,5.09,0
S-00057,ST-02,PM-01,DT-0008,LabA,1.449,0
S-00058,ST-03,PM-05,DT-0008,LabA,7.299,0
S-00059,ST-03,PM-03,DT-0008,LabA,0.587,0
S-00060,ST-01,PM-01,DT-0008,LabA,4.442,0
S-00061,ST-01,PM-02,DT-0008,LabA,0.968,0
S-00062,ST-01,PM-04,DT-0008,LabA,12.867,0
S-00063,ST-04,PM-01,DT-0008,LabA,1.102,0
S-00064,ST-04,PM-04,DT-0008,LabA,11.456,0
S-00065,ST-02,PM-01,DT-0009,LabA,0.585,0
S-00066,ST-03,PM-05,DT-0009,LabA,7.28,0
S-00067,ST-03,PM-03,DT-0009,LabA,0.28,0
S-00068,ST-01,PM-01,DT-0009,LabA,3.051,0
S-00069,ST-01,PM-02,DT-0009,LabA,0.746,0
S-00070,ST-01,PM-04,DT-0009,LabA,18.737,0
S-00071,ST-04,PM-01,DT-0009,LabA,2.745,0
S-00072,ST-04,PM-04,DT-0009,LabA,10.513,0
S-00073,ST-02,PM-01,DT-0010,LabA,3.876,0
S-00074,ST-03,PM-05,DT-0010,LabA,7.752,0
S-00075,ST-03,PM-03,DT-0010,LabA,0.431,0
S-00076,ST-01,PM-01,DT-0010,LabA,1.173,0
S-00077,ST-01,PM-02,DT-0010,LabA,0.855,0
S-00078,ST-01,PM-04,DT-0010,LabA,15.809,0
S-00079,ST-04,PM-01,DT-0010,LabA,2.57,0
S-00080,ST-04,PM-04,DT-0010,LabA,7.41,0
S-00081,ST-02,PM-01,DT-0011,LabA,2.521,0
S-00082,ST-03,PM-05,DT-0011,LabA,7.271,0
S-00083,ST-03,PM-03,DT-0011,LabA,0,0
