source,station,parameter,sample_date,value
LabB,Station-North-1,pH,2026-01-05,7.033
LabB,Station-North-1,Dissolved Copper,2026-01-05,0.268
LabB,Station-North-1,Dissolved Lead,2026-01-05,0.387
LabB,Station-North-1,Turbidity,2026-01-05,14.382
LabB,Station-North-2,Dissolved Arsenic,2026-01-05,0
LabB,Station-North-2,Dissolved Copper,2026-01-05,0.598
LabB,Station-North-2,Turbidity,2026-01-05,12.668
LabB,Station-East-1,pH,2026-01-05,15.389
LabB,Station-East-1,Dissolved Lead,2026-01-05,0.449
LabB,Station-South-1,pH,2026-01-05,7.096
LabB,Station-South-1,Dissolved Copper,2026-01-05,0.423
LabB,Station-South-1,Dissolved Lead,2026-01-05,0.783
LabB,Station-North-1,pH,2026-01-12,16.349
LabB,Station-North-1,Dissolved Copper,2026-01-12,1.025
LabB,Station-North-1,Dissolved Lead,2026-01-12,0.238
LabB,Station-North-1,Turbidity,2026-01-12,12.744
LabB,Station-North-2,Dissolved Arsenic,2026-01-12,10.496
LabB,Station-North-2,Dissolved Copper,2026-01-12,0.75
LabB,Station-North-2,Turbidity,2026-01-12,18.957
LabB,Station-East-1,pH,2026-01-12,7.408
LabB,Station-East-1,Dissolved Lead,2026-01-12,0.45
LabB,Station-South-1,pH,2026-01-12,7.351
LabB,Station-South-1,Dissolved Copper,2026-01-12,3.736
LabB,Station-South-1,Dissolved Lead,2026-01-12,0.261
LabB,Station-North-1,pH,2026-01-19,16.857
LabB,Station-North-1,Dissolved Copper,2026-01-19,0.764
LabB,Station-North-1,Dissolved Lead,2026-01-19,0.744
LabB,Station-North-1,Turbidity,2026-01-19,11.557
LabB,Station-North-2,Dissolved Arsenic,2026-01-19,1.225
LabB,Station-North-2,Dissolved Copper,2026-01-19,0.571
LabB,Station-North-2,Turbidity,2026-01-19,10.534
LabB,Station-East-1,pH,2026-01-19,7.772
LabB,Station-East-1,Dissolved Lead,2026-01-19,0.705
LabB,Station-South-1,pH,2026-01-19,7.209
LabB,Station-South-1,Dissolved Copper,2026-01-19,0.868
LabB,Station-South-1,Dissolved Lead,2026-01-19,0.357
LabB,Station-North-1,pH,2026-01-26,7.35
LabB,Station-North-1,Dissolved Copper,2026-01-26,0.223
LabB,Station-North-1,Dissolved Lead,2026-01-26,0.963
LabB,Station-North-1,Turbidity,2026-01-26,34.568
LabB,Station-North-2,Dissolved Arsenic,2026-01-26,2.002
LabB,Station-North-2,Dissolved Copper,2026-01-26,0.924
LabB,Station-North-2,Turbidity,2026-01-26,9.704
LabB,Station-East-1,pH,2026-01-26,7.163
LabB,Station-East-1,Dissolved Lead,2026-01-26,0.157
LabB,Station-South-1,pH,2026-01-26,16.44
LabB,Station-South-1,Dissolved Copper,2026-01-26,1.582
LabB,Station-South-1,Dissolved Lead,2026-01-26,0.359
LabB,Station-North-1,pH,2026-02-02,7.93
LabB,Station-North-1,Dissolved Copper,2026-02-02,1.458
LabB,Station-North-1,Dissolved Lead,2026-02-02,0.164
LabB,Station-North-1,Turbidity,2026-02-02,13.412
LabB,Station-North-2,Dissolved Arsenic,2026-02-02,2.837
LabB,Station-North-2,Dissolved Copper,2026-02-02,1.478
LabB,Station-North-2,Turbidity,2026-02-02,5.574
LabB,Station-East-1,pH,2026-02-02,7.118
LabB,Station-East-1,Dissolved Lead,2026-02-02,0.45
LabB,Station-South-1,pH,2026-02-02,7.067
LabB,Station-South-1,Dissolved Copper,2026-02-02,0.86
LabB,Station-South-1,Dissolved Lead,2026-02-02,0.436
LabB,Station-North-1,pH,2026-02-09,6.809
LabB,Station-North-1,Dissolved Copper,2026-02-09,0.935
LabB,Station-North-1,Dissolved Lead,2026-02-09,0.601
LabB,Station-North-1,Turbidity,2026-02-09,12.877
LabB,Station-North-2,Dissolved Arsenic,2026-02-09,2.768
LabB,Station-North-2,Dissolved Copper,2026-02-09,1.154
LabB,Station-North-2,Turbidity,2026-02-09,0.498
LabB,Station-East-1,pH,2026-02-09,7.171
LabB,Station-East-1,Dissolved Lead,2026-02-09,0.234
LabB,Station-South-1,pH,2026-02-09,7.363
LabB,Station-South-1,Dissolved Copper,2026-02-09,0.423
LabB,Station-South-1,Dissolved Lead,2026-02-09,0.248
LabB,Station-North-1,pH,2026-02-16,7.589
LabB,Station-North-1,Dissolved Copper,2026-02-16,2.494
